Name	Date time	Maximum Temperature	Minimum Temperature	Temperature	Wind Chill	Heat Index	Precipitation	Snow	Snow Depth	Wind Speed	Wind Direction	Wind Gust	Visibility	Cloud Cover	Relative Humidity	Conditions	datetime	year	month	day	unix
Москва, Центральный федеральный округ, Россия	02/02/1970	-7.1	-11.1	-8.8	-19.7		0.0			29.5	263.75		9.4	87.5	87.89	Overcast	1970-02-02	1970.0	2.0	2.0	2764800
Москва, Центральный федеральный округ, Россия	02/03/1970	-7.1	-14.9	-10.7	-23.7		0.0			22.3	215.0		10.0	43.8	57.06	Partially cloudy	1970-02-03	1970.0	2.0	3.0	2851200
Москва, Центральный федеральный округ, Россия	02/04/1970	-2.8	-9.9	-6.7	-18.2		0.0			25.9	152.5		3.3	100.0	90.69	Overcast	1970-02-04	1970.0	2.0	4.0	2937600
Москва, Центральный федеральный округ, Россия	02/05/1970	0.1	-7.8	-4.7	-15.2		0.0			25.9	226.25		3.9	98.8	91.04	Overcast	1970-02-05	1970.0	2.0	5.0	3024000
Москва, Центральный федеральный округ, Россия	02/06/1970	0.1	-12.1	-7.4	-16.6		0.0			22.3	258.0		11.0	63.8	80.09	Partially cloudy	1970-02-06	1970.0	2.0	6.0	3110400
Москва, Центральный федеральный округ, Россия	02/07/1970	-9.9	-13.8	-11.7	-18.2		0.0			14.8	208.33		7.1	84.3	81.45	Overcast	1970-02-07	1970.0	2.0	7.0	3196800
Москва, Центральный федеральный округ, Россия	02/08/1970	-7.1	-12.1	-9.9	-18.9		0.0			25.9	251.25		8.1	56.3	89.34	Partially cloudy	1970-02-08	1970.0	2.0	8.0	3283200
Москва, Центральный федеральный округ, Россия	02/09/1970	-1.1	-11.1	-4.7	-18.9		0.0			25.9	205.0		10.0	87.5	88.4	Overcast	1970-02-09	1970.0	2.0	9.0	3369600
Москва, Центральный федеральный округ, Россия	02/10/1970	-1.1	-2.1	-1.5	-7.7		0.0			18.4	218.75		10.0	96.3	92.06	Overcast	1970-02-10	1970.0	2.0	10.0	3456000
Москва, Центральный федеральный округ, Россия	02/11/1970	-1.1	-2.8	-2.2	-7.9		0.0			18.4	160.0		4.4	98.8	94.21	Overcast	1970-02-11	1970.0	2.0	11.0	3542400
Москва, Центральный федеральный округ, Россия	02/12/1970	-3.8	-16.1	-10.1	-23.7		0.0			25.9	282.86		9.3	42.9	82.98	Partially cloudy	1970-02-12	1970.0	2.0	12.0	3628800
Москва, Центральный федеральный округ, Россия	02/13/1970	-11.1	-18.9	-16.3	-24.7		0.0			7.6	252.86		9.4	1.3	87.93	Clear	1970-02-13	1970.0	2.0	13.0	3715200
Москва, Центральный федеральный округ, Россия	02/14/1970	-8.8	-14.9	-11.4	-23.7		0.0			29.5	128.33		3.3	81.4	80.24	Overcast	1970-02-14	1970.0	2.0	14.0	3801600
Москва, Центральный федеральный округ, Россия	02/15/1970	-3.8	-7.8	-6.4	-16.6		0.0			29.5	187.5		7.1	80.0	84.41	Overcast	1970-02-15	1970.0	2.0	15.0	3888000
Москва, Центральный федеральный округ, Россия	02/16/1970	2.2	-7.1	-2.0	-14.6		0.0			22.3	125.71		2.0	85.7	96.2	Overcast	1970-02-16	1970.0	2.0	16.0	3974400
Москва, Центральный федеральный округ, Россия	02/17/1970	1.2	-12.1	-6.9	-16.8		0.0			22.3	265.0		8.0	60.0	80.11	Partially cloudy	1970-02-17	1970.0	2.0	17.0	4060800
Москва, Центральный федеральный округ, Россия	02/18/1970	-8.8	-14.9	-11.9	-20.3		0.0			18.4	67.5		5.3	71.3	86.58	Partially cloudy	1970-02-18	1970.0	2.0	18.0	4147200
Москва, Центральный федеральный округ, Россия	02/19/1970	-7.8	-9.9	-8.8	-17.4		0.0			22.3	312.5		2.9	100.0	88.08	Overcast	1970-02-19	1970.0	2.0	19.0	4233600
Москва, Центральный федеральный округ, Россия	02/20/1970	-7.8	-12.1	-10.2	-18.2		0.0			11.2	323.75		8.8	56.3	84.02	Partially cloudy	1970-02-20	1970.0	2.0	20.0	4320000
Москва, Центральный федеральный округ, Россия	02/21/1970	-7.8	-14.9	-12.3	-19.3		0.0			18.4	41.67		8.6	77.1	82.24	Overcast	1970-02-21	1970.0	2.0	21.0	4406400
